cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
11000,AW00011000, Jon,Yang ,M,F,06-10-2025
11001,AW00011001,Eugene,Huang  ,S,M,06-10-2025
11002,AW00011002,Ruben, Torres,M,M,06-10-2025
11003,AW00011003,Christy,  Zhu,S,F,06-10-2025
11004,AW00011004, Elizabeth,Johnson,S,F,06-10-2025
11005,AW00011005,Julio,Ruiz,S,M,06-10-2025
11006,AW00011006,Janet,Alvarez,S,F,06-10-2025
11007,AW00011007,Marco,Mehta,M,M,06-10-2025
11008,AW00011008,Rob,Verhoff,S,F,06-10-2025
11009,AW00011009,Shannon,Carlson,S,M,06-10-2025
11004,AW00011004, Elizabeth,Johnson,S,M,06-10-2025
11011,AW00011011,Curtis,Lu,M,M,06-10-2025
11012,AW00011012,  Lauren, Walker,M,F,06-10-2025
11013,AW00011013, Ian , Jenkins ,M,M,06-10-2025
11014,AW00011014,Sydney,Bennett,S,F,06-10-2025
11015,AW00011015,  Chloe,Young,S,F,06-10-2025
11016,AW00011016,Wyatt,Hill,M,M,07-10-2025
11017,AW00011017,Shannon,Wang,S,F,07-10-2025
11011,AW00011011,Curtis,Lu,M,M,06-10-2025
